,Instance,n_N,n_B,Gap,Runtime,NodeCount,ObjVal
0,0.0,5.0,11.0,0.0,2.4946327209472656,606.0,195.26542300572433
1,1.0,5.0,11.0,0.0,2.4947829246520996,1522.0,167.3843084725856
2,2.0,5.0,11.0,0.0,1.964885950088501,182.0,198.10905566393274
3,3.0,5.0,9.0,0.0,1.771634817123413,1223.0,200.37971166239208
4,4.0,5.0,10.0,1.5873838735141233e-06,1.084320068359375,1.0,163.64137289617042
5,5.0,5.0,10.0,8.282575585182999e-08,0.9607081413269043,6.0,196.72030930596927
6,6.0,5.0,10.0,1.5385169198569005e-07,1.2748136520385742,1.0,238.37314916503914
7,7.0,5.0,11.0,6.486234456186066e-09,1.455512523651123,210.0,177.9615693836343
8,8.0,5.0,10.0,2.7718377127326388e-08,1.9413690567016602,1209.0,195.97440344882745
9,9.0,5.0,8.0,4.2947913541532374e-08,0.8126575946807861,1.0,176.0812449016574
10,0.0,10.0,21.0,3.7586472931902044e-05,6.146129131317139,525.0,270.5580575828473
11,1.0,10.0,21.0,5.7690752079209814e-08,5.013797044754028,217.0,287.6411947477781
12,2.0,10.0,15.0,0.0,11.849245309829712,987.0,338.95971676209535
13,3.0,10.0,19.0,0.0,5.940328359603882,450.0,281.26628671788905
14,4.0,10.0,20.0,2.2532935364598955e-07,5.183474779129028,121.0,305.623414701635
15,5.0,10.0,21.0,2.2432238886939096e-08,5.136600494384766,152.0,323.51482954555036
16,6.0,10.0,17.0,2.8614889802982365e-09,3.607135057449341,318.0,251.55894145661128
17,7.0,10.0,21.0,4.941817528577096e-08,6.871316432952881,604.0,285.24089975932634
18,8.0,10.0,20.0,0.0,6.140736818313599,445.0,325.91379235690073
19,9.0,10.0,21.0,1.1538489030215675e-07,6.332141399383545,268.0,316.2911496308081
20,0.0,20.0,35.0,2.006496668973834e-05,28.58242130279541,522.0,415.192807332431
21,1.0,20.0,35.0,2.2884628514361595e-06,58.387855052948,1304.0,389.4648127743262
22,2.0,20.0,35.0,0.0,20.316834926605225,619.0,419.342379339442
23,3.0,20.0,38.0,0.0,23.06242537498474,444.0,421.2417905063496
24,4.0,20.0,40.0,3.0345415194422663e-06,57.3670654296875,3184.0,459.6354983483722
25,5.0,20.0,36.0,0.0,104.48874759674072,2709.0,452.4048627891502
26,6.0,20.0,35.0,8.331911073430261e-05,45.280898332595825,841.0,376.7903432079291
27,7.0,20.0,38.0,1.1867975166034686e-05,23.87065863609314,837.0,461.74735275482317
28,8.0,20.0,39.0,2.8860171881103607e-05,59.73720026016235,1197.0,486.4207775832533
29,9.0,20.0,35.0,2.1493859002397046e-06,37.4726185798645,1203.0,394.2798639987363
30,0.0,30.0,52.0,3.861812359747435e-08,80.81157684326172,2144.0,628.8843937632081
31,1.0,30.0,58.0,0.0,189.95415878295898,7167.0,571.7174347778923
32,2.0,30.0,49.0,2.3538439174327673e-05,53.07835078239441,989.0,583.4613435522712
33,3.0,30.0,54.0,6.415168417497616e-08,142.06788182258606,4415.0,570.7794468457303
34,4.0,30.0,53.0,2.6001408509525897e-07,98.2669472694397,3105.0,559.0029030169615
35,5.0,30.0,56.0,2.0585350457370325e-05,219.8498237133026,6710.0,595.6883024374496
36,6.0,30.0,60.0,7.763272237327076e-06,57.70495271682739,635.0,611.7765585334989
37,7.0,30.0,57.0,1.3317340572160152e-08,174.2709240913391,6259.0,554.7996304974376
38,8.0,30.0,54.0,0.0,87.87183570861816,2686.0,532.5101350268542
39,9.0,30.0,58.0,0.0,167.63986492156982,2799.0,593.4494354352676
40,0.0,50.0,83.0,9.960414757007098e-05,414.9447765350342,18273.0,710.6136936936006
41,1.0,50.0,82.0,3.46309146583281e-06,390.3940896987915,25628.0,770.2136039499195
42,2.0,50.0,83.0,0.0,1599.1816663742065,83533.0,769.046834178736
43,3.0,50.0,83.0,4.5710893196917995e-08,323.10918164253235,12616.0,778.3413472264823
44,4.0,50.0,90.0,2.3231581664696126e-05,533.2317967414856,24212.0,725.1235924367348
45,5.0,50.0,86.0,1.2171179072464394e-07,346.95370984077454,13571.0,728.636161758854
46,6.0,50.0,87.0,0.0,658.333737373352,30337.0,758.0072161464255
47,7.0,50.0,79.0,9.636479612683132e-05,181.12745237350464,2017.0,727.5186111576966
0,8.0,50.0,91.0,1.1649913001915018e-08,603.4775841236115,24655.0,759.6572288554866
1,9.0,50.0,91.0,1.1582592109646178e-07,488.5247423648834,10363.0,697.2686966043868
2,0.0,80.0,127.0,1.762981760439493e-05,1976.0072391033173,60731.0,942.7818637453746
3,1.0,80.0,125.0,0.01283039723254017,3600.69970870018,114363.0,986.496870261451
4,2.0,80.0,145.0,5.636975330696611e-05,2467.260547399521,58844.0,968.0927886892998
5,3.0,80.0,135.0,0.00543637652635432,3601.132350206375,127153.0,1026.516151427092
6,4.0,80.0,135.0,0.011855560458221755,3600.9103543758392,98258.0,909.5480185017598
7,5.0,80.0,142.0,0.017713294719812714,3600.8744580745697,99503.0,966.5063411875483
8,6.0,80.0,137.0,1.6775292616192552e-05,2730.7230746746063,72527.0,993.051750663963
9,7.0,80.0,127.0,2.798195639623923e-05,2327.623498916626,82303.0,959.6539844308072
10,8.0,80.0,139.0,0.017330743272057806,3600.847759962082,127018.0,986.9900234704058
11,9.0,80.0,138.0,0.0008290305133051764,3600.7342591285706,83622.0,961.4607880164315
